_service,Адрес ДТП,Дата и время,Код СКДФ,Вид ДТП,Ранено,Погибло,Количество участников,Количество ТС,Система источник,Причины ДТП,_page
,"Кимрский
ул Центральная",30.12.2024 в 08:50:00,337165782,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,"Несоблюдение условий, разрешающих движение транспорта задним ходом",4
,Симферопольский район Объект «Строительство объездной дороги г. Симферополя на участке Дубки-Левадки,30.12.2024 в 08:45:00,337214476,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,4
,Симферопольский район Объект «Строительство объездной дороги г. Симферополя на участке Дубки-Левадки,30.12.2024 в 08:30:00,337214452,Наезд на препятствие,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,4
,"Красноглинский р-н Красноглинское шоссе (от моста через р. Сок до Волжского шоссе)
Красноглинское шоссе (от моста через р. Сок до Волжского шоссе)",30.12.2024 в 08:30:00,337166239,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,4
,"Г.КРАСНОДАР
ул им Мачуги В.Н.",30.12.2024 в 08:25:00,337205847,Падение пассажира,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,4
,"Почепский район
ул Усиевича",30.12.2024 в 08:25:00,337165538,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,4
,"Новокузнецкий городской округ
ул 40 лет ВЛКСМ",30.12.2024 в 08:20:00,337183054,Наезд на препятствие,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,4
,"Калининский АО г.Тюмени Обход г. Тюмени
Обход г. Тюмени",30.12.2024 в 08:00:00,337167809,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,4
,"МО ГО Сыктывкар
ул Гаражная",30.12.2024 в 07:45:00,337173296,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,4
,"Балахнинский район Шопша-Иваново-Н.Новгород на участке обхода г.Балахны и Заволжья
Шопша - Иваново - Н.Новгород на участке обхода г. Балахны и Заволжья в Нижегородской обл. (1 пусковой комплекс с подъездом к г. Заволжье)",30.12.2024 в 07:40:00,337186421,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,"Выезд на полосу встречного движения в местах, где это запрещено; Нарушение правил обгона; Превышение установленной скорости движения",4
,Промышленновский муниципальный округ,30.12.2024 в 07:35:00,337183036,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,4
,"г.Ессентуки
ул Маркова",30.12.2024 в 07:30:00,337170820,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,4
,"Тобольский район Р-404 Тюмень - Тобольск - Ханты-Мансийск
Р-404 Тюмень - Тобольск - Ханты-Мансийск (11+700 - 542+665)",30.12.2024 в 07:30:00,337167786,Наезд на препятствие,0,0,0,3,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,4
,"Наро-Фоминский р-н М-3 Украина Москва - Калуга - Брянск - граница с Украиной (основное направление)
М-3 « Украина» Москва - Калуга - Брянск - граница с Украиной (65+200 - 519+868)",30.12.2024 в 07:10:00,337177553,Наезд на препятствие,0,0,0,2,Официальный сайт Госавтоинспекции,,4
,"Городской округ г.Ефремов М-4 Дон Москва - Воронеж - Ростов-на-Дону - Краснодар – Новороссийск (основное направление)
М-4 ""Дон"" Москва - Воронеж - Ростов-на-Дону - Краснодар - Новороссийск старое направление проезд по г. Ефремов (296+500 - 321+300)",30.12.2024 в 07:00:00,337176442,Столкновение,1,1,0,3,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,4
,"Богучанский р-н Канск-Абан-Богучаны
Канск - Абан - Богучаны",30.12.2024 в 06:42:00,337210982,Столкновение,1,1,0,3,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,4
,"Сакмарский Р-239 Казань - Оренбург - Акбулак - граница с Республикой Казахстан (основное направление)
Р-239 Казань - Оренбург - Акбулак - граница с Республикой Казахстан (398+860 - 712+514)",30.12.2024 в 06:25:00,337185767,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,4
,"Советский район
ул Минская (Сырский Рудник)",30.12.2024 в 06:15:00,337202798,Столкновение,1,1,0,3,Официальный сайт Госавтоинспекции,"Выезд на полосу встречного движения в местах, где это запрещено",4
,"Пролетарский район
ул Демидовская плотина",30.12.2024 в 06:10:00,337176403,Наезд на стоящее ТС,0,0,0,2,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,4
,"Октябрьский район
КАРЛА ЛИБКНЕХТА ул., литера I",30.12.2024 в 06:10:00,337172175,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,4
,"САЛЬСКИЙ Котельниково-Песчанокопское
Подъезд от автомобильной дороги ""г. Котельниково - пос. Зимовники - г. Сальск - с. Песчанокопское (от границы Волгоградской области)"" к с. Екатериновка",30.12.2024 в 06:05:00,337200372,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,4
,"Советский район
ул. Доватора",30.12.2024 в 06:00:00,337179657,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,4
,"Нижнедевицкий район КУРСК - БОРИСОГЛЕБСК - МИХНЕВО - СИНИЕ ЛИПЯГИ
""Курск - Борисоглебск"" - Михнево - Синие Липяги",30.12.2024 в 05:40:00,337169508,Съезд с дороги,1,1,0,4,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,4
,"Еткульский муниципальный район А-310 Челябинск - Троицк - граница с Республикой Казахстан
А–310 Челябинск – Троицк – граница с Республикой Казахстан (16+270 - 146+128)",30.12.2024 в 05:15:00,337179675,Наезд на препятствие,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,4
,"Знаменский р-н Тара-Усть-Ишим
Тобольск - Тара - Томск, участок Тара -Усть-Ишим",30.12.2024 в 04:30:00,337183986,Съезд с дороги,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,4
,"Рамонский район
ул Ленина",30.12.2024 в 04:30:00,337169504,Наезд на препятствие,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,4
,"Центральный АО г.Тюмени
ул. 50 лет ВЛКСМ (ул. Мориса Тореза - путепровод по ул. Монтажников)",30.12.2024 в 04:30:00,337167791,Наезд на препятствие,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,4
,"Г.КРАСНОДАР
ул Северная",30.12.2024 в 03:45:00,337205815,Наезд на стоящее ТС,0,0,2,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,4
,Ленинский р-н,30.12.2024 в 03:16:00,337203541,Наезд на препятствие,0,0,0,1,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,4
,"Исаклинский р-н М-5 Урал Москва - Рязань - Пенза - Самара - Уфа – Челябинск (основное направление)
""Урал"" - Исаклы - Шентала",30.12.2024 в 03:05:00,337166274,Столкновение,1,1,0,7,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,4
,"Центральный район
ул Карла Маркса",30.12.2024 в 02:30:00,337212444,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,4
,"Лыткарино
ул Парковая",30.12.2024 в 02:30:00,337177608,Наезд на препятствие,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,4
,"СЕМИКАРАКОРСКИЙ участок автомобильной дороги г. Ростов-на-Дону (от магистрали Дон) г. Семикаракорск г. Волгодонск
Участок автомобильной дороги г. Ростов-на-Дону (от магистрали ""Дон"") - г. Семикаракорск - г. Волгодонск на км 0 + 000 - км 88 + 500",30.12.2024 в 02:20:00,337200379,Наезд на пешехода,1,1,1,1,Официальный сайт Госавтоинспекции,Движение вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины,4
,Новосибирский район Н-2139 Советское шоссе,30.12.2024 в 02:00:00,337215434,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,4
,"КРАСНОАРМЕЙСКИЙ
ул Советская",30.12.2024 в 02:00:00,337205791,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение требований дорожных знаков,5
,"Хлевенский район А-133 Подъездная дорога от автомобильной дороги М-4 Дон к г. Липецку
А-133 подъездная дорога от автомобильной дороги М-4 ""Дон"" к г. Липецку (0+000 - 55+608)",30.12.2024 в 02:00:00,337202788,Столкновение,4,4,0,5,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,5
,"г.Пятигорск
ул Садовая",30.12.2024 в 02:00:00,337170817,Наезд на препятствие,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,"Октябрьский район
Старое шоссе - Бердское шоссе - ул. Большевистская - Красный проспект - пл. им. Калинина - Красный проспект - Мочищенское шоссе",30.12.2024 в 01:40:00,337215404,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,5
,"САЛЬСКИЙ Егорлыкская - Сальск
ст. Егорлыкская - г. Сальск",30.12.2024 в 01:40:00,337200359,Столкновение,1,1,0,3,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,5
,"Радищевский Р-228 Сызрань - Саратов - Волгоград
Р-228 Сызрань - Саратов - Волгоград (17+900 - 47+000)",30.12.2024 в 01:40:00,337198169,Наезд на стоящее ТС,1,1,0,2,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,5
,"Выборгский район
ул Заречная",30.12.2024 в 01:23:00,337189264,Наезд на пешехода,1,1,1,1,Официальный сайт Госавтоинспекции,Движение вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины; Несоответствие скорости конкретным условиям движения,5
,"Спасский р-н М-5 Урал Москва - Рязань - Пенза - Самара - Уфа – Челябинск (основное направление)
М-5 ""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск (160+445 - 1194+766)",30.12.2024 в 01:10:00,337208507,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,5
,"Шебалинский район
ул Советская",30.12.2024 в 00:40:00,337197838,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,5
,"Красноармейский р-н Р-228 Сызрань - Саратов - Волгоград
Р-228 Сызрань - Саратов - Волгоград (47+000 - 428+295)",30.12.2024 в 00:35:00,337203517,Съезд с дороги,0,0,0,4,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,5
,"Нанайский район Хабаровск-Лидога-Ванино с подъездом к г. Комсомольску-на-Амуре на участке 384,855-393,140
А-376 Хабаровск - Лидога - Ванино - Комсомольск-на-Амуре (5+000 - 533+591)",30.12.2024 в 00:25:00,337212467,Съезд с дороги,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,"Можгинский район Р-243, подъезд к г. Ижевск, М-12 «Восток»
Р-243 Кострома - Шарья - Киров - Пермь, подъезд к г. Ижевск, М-12 ""Восток"" (086+546 - 397+364)",30.12.2024 в 00:20:00,337218328,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,"Г.БАТАЙСК
ул Рыбная",30.12.2024 в 00:20:00,337200383,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,5
,"Кочубеевский район Р-217 Кавказ автомобильная дорога М-4 Дон - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (основное направление)
Р-217 ""Кавказ"" автомобильная дорога М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (209+400 - 359+448)",30.12.2024 в 00:15:00,337170835,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,5
,"ВЕЛИКОЛУКСКИЙ РАЙОН А-122 Автомобильная дорога А-114 – Устюжна – Крестцы – Яжелбицы – Великие Луки - Невель
А-122 автомобильная дорога А-114 – Устюжна – Крестцы – Яжелбицы – Великие Луки – Невель (553+815 - 664+764)",30.12.2024 в 00:13:00,337185444,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,5
,"Вологда
ул Ленинградская",30.12.2024 в 00:06:00,337192714,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,5
,"Первомайский район
ул Павла Корчагина",30.12.2024 в 00:05:00,337195406,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,5
,"Октябрьский округ
ул Академика Книповича",30.12.2024 в 00:05:00,337185094,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,5
,"Меленковский район Касимов - Муром - Нижний Новгород
Касимов - Муром - Нижний Новгород",30.12.2024 в 00:01:00,337174429,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,Плавский район,29.12.2024 в 23:54:00,337176467,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Иные нарушения,5
,"Октябрьский
ул Волгоградская",29.12.2024 в 23:45:00,337179383,Наезд на препятствие,0,0,0,1,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части; Несоответствие скорости конкретным условиям движения,5
,"Первомайский район
ул Карла Либкнехта",29.12.2024 в 23:38:00,337218359,Столкновение,1,1,0,4,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,5
,"Советский район
Вознесенская улица",29.12.2024 в 23:12:00,337175270,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,5
,"Первомайский район
ул Свободы",29.12.2024 в 23:05:00,337195434,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,5
,"Баргузинский р-н Улан-Удэ-Турунтаево-Курумкан-Новый Уоян
Улан-Удэ - Турунтаево - Курумкан - Новый Уоян",29.12.2024 в 23:05:00,337193294,Съезд с дороги,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,"Новоторъяльский
ул Центральная",29.12.2024 в 23:00:00,337200088,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нахождение на проезжей части без цели её перехода,5
,"Черлакский р-н А-320 Омск - Черлак - граница с Республикой Казахстан
А-320 Омск - Черлак - граница с Республикой Казахстан (13+503 - 191+857)",29.12.2024 в 23:00:00,337184037,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,"Дюртюлинский район Дюртюли-Нефтекамск (Редькино,Новонагаево,Ташкиново)
Дюртюли - Нефтекамск",29.12.2024 в 23:00:00,337181783,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,5
,"ОКТЯБРЬСКИЙ
ул Молодежная",29.12.2024 в 22:36:00,337194552,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,5
,"Дзержинский р-н
пр-кт Ленинградский",29.12.2024 в 22:20:00,337196060,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,5
,"Орловский р-н М-2 Крым Москва - Тула - Орел - Курск - Белгород - граница с Украиной (основное направление)
М-2 ""Крым"" Москва - Тула - Орел - Курск - Белгород - граница с Украиной (304+300 - 401+770)",29.12.2024 в 22:20:00,337175825,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,5
,"Ленинск-Кузнецкий городской округ (упразднен с 01.01.2025) Ленинск-Кузнецкий-Новогеоргиевка
Ленинск-Кузнецкий - Новогеоргиевка",29.12.2024 в 22:17:00,337183113,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,5
,"Сафоновский район Обход г. Сафоново
Обход г. Сафоново",29.12.2024 в 22:15:00,337198619,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Движение вдоль проезжей части попутного направления вне населенного пункта при удовлетворительном состоянии обочины; Несоответствие скорости конкретным условиям движения,5
,"МО ГО Ухта Подъезд к пгт Ярега от а/д Сыктывкар - Нарьян-Мар
Подъезд к пгт Ярега от автомобильной дороги Сыктывкар - Ухта - Печора - Усинск - Нарьян-Мар",29.12.2024 в 22:13:00,337173325,Столкновение,1,1,0,3,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,5
,"Заволжский подъездной путь к мостовому переходу через р.Волгу
Автодорожный мостовой переход через р. Волгу в районе г. Кинешмы",29.12.2024 в 22:00:00,337213407,Опрокидывание,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,"Спасский район Рязань-Спасск-Ижевское
Рязань (от села Шумашь) - Спасск-Рязанский - Ижевское - Лакаш",29.12.2024 в 22:00:00,337175261,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,"Назрановский район Р-217 Кавказ автомобильная дорога М-4 Дон - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (основное направление)
Р-217 ""Кавказ"" автомобильная дорога М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (563+778 - 602+000)",29.12.2024 в 22:00:00,337168945,Наезд на препятствие,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,5
,"ТАРАСОВСКИЙ пос. Тарасовский – х. Верхне-Митякин – х. Можаевка
пос. Тарасовский - х. Верхне-Митякин - х. Можаевка",29.12.2024 в 21:50:00,337200425,Съезд с дороги,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,"Суровикинский район
ул Луговая",29.12.2024 в 21:38:00,337199011,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоблюдение бокового интервала,5
,"Тейковский Тейково-Гаврилов Посад
Тейково - Гаврилов Посад",29.12.2024 в 21:35:00,337213415,Наезд на стоящее ТС,0,0,1,4,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,"Кемеровский городской округ
Улица Васильева, от ул. 50 лет Октября до ул. Мичурина",29.12.2024 в 21:35:00,337183077,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,5
,"Илишевский район Новые Маты - Рсаево
Новые Маты - Рсаево",29.12.2024 в 21:35:00,337181786,Съезд с дороги,0,0,0,1,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,5
,"Выборгский район
пр-кт Луначарского (от Выборгского шоссе до ул Руставели)",29.12.2024 в 21:30:00,337189276,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода; Неподчинение сигналам регулирования,5
,"Октябрьский район г. Уфа
ул Сипайловская",29.12.2024 в 21:30:00,337181799,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,5
,"Советский район
ул 9 Мая",29.12.2024 в 21:23:00,337211072,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Неподчинение сигналам регулирования,5
,"Центральный
ул 50 лет Октября",29.12.2024 в 21:20:00,337196920,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,5
,"Пушкинский район М-11 Нева Москва - Санкт-Петербург (основное направление)
М-11 ""Нева"" Москва - Санкт-Петербург, включая Софийскую транспортную развязку (146+926 - 684+200)",29.12.2024 в 21:03:00,337189268,Наезд на препятствие,0,0,0,2,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части; Несоответствие скорости конкретным условиям движения,5
,"Калининград
ул Зоологическая",29.12.2024 в 21:00:00,337219546,Наезд на велосипедиста,0,0,0,2,Официальный сайт Госавтоинспекции,Непредоставление преимущества в движении пешеходу,5
,"Кочубеевский район
ул. Гагарина",29.12.2024 в 21:00:00,337170946,Столкновение,0,0,0,6,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,5
,"Ачитский р-н Р-242 Пермь - Екатеринбург (исключена с 01.11.2023 г.)
Р–242 Пермь – Екатеринбург (160+046 - 187+589)",29.12.2024 в 20:50:00,337209843,Столкновение,0,0,0,8,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,5
,"Новоусманский район Р-193 Воронеж - Тамбов
Р-193 Воронеж - Тамбов (10+038 - 105+738)",29.12.2024 в 20:50:00,337169545,Наезд на препятствие,1,1,0,1,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,5
,"Жиганский
ул Ойунского",29.12.2024 в 20:30:00,337197585,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода; Нарушение правил расположения ТС на проезжей части,5
,"Каякентский район Р-217 Кавказ автомобильная дорога М-4 Дон - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (основное направление)
Р-217 ""Кавказ"" автомобильная дорога М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (718+180 - 989+325)",29.12.2024 в 20:30:00,337191062,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,"Выезд на полосу встречного движения в местах, где это запрещено",5
,Златоустовский городской округ,29.12.2024 в 20:30:00,337179731,Наезд на пешехода,0,0,2,1,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,Щелковский р-н,29.12.2024 в 20:24:00,337177640,Съезд с дороги,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,"Балаклавский район Ялта-Севастополь
Ялта - Севастополь",29.12.2024 в 20:20:00,337218147,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,5
,"Лесной
проезд Промышленный",29.12.2024 в 20:20:00,337209833,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,5
,"Лискинский район
ул Александра Матросова",29.12.2024 в 20:17:00,337169565,Наезд на пешехода,0,0,2,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,5
,"Благодарненский район
ул Однокозова",29.12.2024 в 20:12:00,337170933,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,5
,"Ленинский АО
ул Новокирпичная",29.12.2024 в 20:10:00,337184022,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,5
,"Калининский АО г.Тюмени Обход г. Тюмени
Обход г. Тюмени",29.12.2024 в 20:10:00,337167825,Наезд на стоящее ТС,0,0,0,3,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,"Приморский район
ул Вербная (от ул Маршала Новикова до Афонской ул)",29.12.2024 в 20:05:00,337189272,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Переход через проезжую часть вне пешеходного перехода в зоне его видимости либо при наличии в непосредственной близости подземного (надземного) пешеходного перехода,5
,"БОКОВСКИЙ подъезд от Обливская-Каргинская к Пономаревка
Подъезд от а/д ""ст Обливская - ст Советская - ст Боковская - ст Каргинская"" к с Пономаревка",29.12.2024 в 20:00:00,337200406,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение бокового интервала,5
,"Советский
ул Лесная",29.12.2024 в 20:00:00,337191673,Падение пассажира,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,"Октябрьский район
ул Московская",29.12.2024 в 19:53:00,337195428,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Неправильный выбор дистанции,5
,"Кольский р-н КОЛА-СЕРЕБРЯНСКАЯ ГЭС
Кола - Серебрянские ГЭС с подъездами (сокращенное наименование - автодорога ""Серебрянка"")",29.12.2024 в 19:50:00,337185104,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,5
,"Правобережный район Р-217 Кавказ, подъезд к городу Владикавказ
Р-217 ""Кавказ"" автомобильная дорога М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой, Подъезд к г.Владикавказ (0+000 - 15+500)",29.12.2024 в 19:45:00,337220088,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,"Выезд на полосу встречного движения с разворотом, поворотом налево или объездом препятствия",5
,"г. Дербент
ул Пугина",29.12.2024 в 19:45:00,337191028,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,5
,"Московский район
проезд без названия (от ул Салова у дома N 59 до автобусного парка)",29.12.2024 в 19:45:00,337189290,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,5
,"Кировский
ул Первомайская",29.12.2024 в 19:40:00,337209854,Столкновение,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,"Добринский район
ул Воронского",29.12.2024 в 19:40:00,337202816,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,5
,"ПЕРВОМАЙСКИЙ
Объездная дорога (Днепропетровская - рынок ""Алмаз"")",29.12.2024 в 19:40:00,337200392,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Нарушение правил перестроения,5
,"Центральный
ул Комсомольская",29.12.2024 в 19:40:00,337200101,Столкновение,0,0,0,3,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,5
,"КИРОВСКИЙ Томск - Каргала - Колпашево
Томск - Каргала - Колпашево",29.12.2024 в 19:40:00,337197934,Столкновение,1,1,0,6,Официальный сайт Госавтоинспекции,Выезд на полосу встречного движения,5
,"г. Урай
ул Космонавтов",29.12.2024 в 19:40:00,337188462,Столкновение,0,0,0,4,Официальный сайт Госавтоинспекции,Несоблюдение очередности проезда,5
,"Левобережный район
ул Писарева",29.12.2024 в 19:40:00,337169548,Наезд на пешехода,0,0,2,1,Официальный сайт Госавтоинспекции,Нарушение правил проезда пешеходного перехода,5
,"ЯКОВЛЕВСКИЙ РАЙОН
ул 5 Августа",29.12.2024 в 19:33:00,337220655,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение требований сигналов светофора,5
,"Гудермесский Р-217 Кавказ автомобильная дорога М-4 Дон - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (основное направление)
Р-217 ""Кавказ"" автомобильная дорога М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой (602+000 - 718+180)",29.12.2024 в 19:30:00,337214352,Наезд на препятствие,0,0,0,2,Официальный сайт Госавтоинспекции,Несоответствие скорости конкретным условиям движения,5
,"Городищенский район Подъезд от а/д Р-22 Каспий а/д М-4 Дон - Тамбов - Волгоград - Астрахань к х. Варламов
ул Пролетарская",29.12.2024 в 19:30:00,337199002,Наезд на пешехода,0,0,1,1,Официальный сайт Госавтоинспекции,Нарушение правил расположения ТС на проезжей части,5
